city_id,city_x,city_y,text_region_filename,distance_from_city,transcribed_text,confidence,notes
73,9594,4772,city0073_region2,88.1,,,
74,10384,4705,city0074_region0,14.1,,,
74,10384,4705,city0074_region1,15.5,,,
74,10384,4705,city0074_region2,54.9,,,
75,6690,4794,city0075_region0,8.9,,,
75,6690,4794,city0075_region1,53.9,,,
75,6690,4794,city0075_region2,78.4,,,
76,11290,4090,city0076_region0,11.4,,,
76,11290,4090,city0076_region1,19.2,,,
76,11290,4090,city0076_region2,43.8,,,
77,7660,4884,city0077_region0,17.7,,,
77,7660,4884,city0077_region1,25.8,,,
77,7660,4884,city0077_region2,57.9,,,
78,11908,2399,city0078_region0,9.0,,,
78,11908,2399,city0078_region1,21.8,,,
78,11908,2399,city0078_region2,22.8,,,
79,11381,4432,city0079_region0,6.4,,,
79,11381,4432,city0079_region1,58.5,,,
79,11381,4432,city0079_region2,101.8,,,
80,9265,1851,city0080_region0,13.0,,,
80,9265,1851,city0080_region1,71.2,,,
80,9265,1851,city0080_region2,73.1,,,
81,9888,2030,city0081_region0,8.9,,,
81,9888,2030,city0081_region1,92.6,,,
81,9888,2030,city0081_region2,100.2,,,
82,11620,4371,city0082_region0,7.8,,,
82,11620,4371,city0082_region1,85.1,,,
82,11620,4371,city0082_region2,107.5,,,
83,10480,4924,city0083_region0,9.2,,,
83,10480,4924,city0083_region1,27.8,,,
83,10480,4924,city0083_region2,34.9,,,
84,7207,3781,city0084_region0,18.0,,,
84,7207,3781,city0084_region1,39.9,,,
84,7207,3781,city0084_region2,44.9,,,
85,5469,3587,city0085_region0,10.2,,,
85,5469,3587,city0085_region1,25.5,,,
85,5469,3587,city0085_region2,44.3,,,
86,7866,5277,city0086_region0,1.0,,,
86,7866,5277,city0086_region1,10.6,,,
86,7866,5277,city0086_region2,88.5,,,
87,10146,5014,city0087_region0,10.8,,,
87,10146,5014,city0087_region1,73.8,,,
87,10146,5014,city0087_region2,96.5,,,
88,9778,1549,city0088_region0,10.6,,,
88,9778,1549,city0088_region1,19.9,,,
88,9778,1549,city0088_region2,32.0,,,
89,7271,4779,city0089_region0,41.8,,,
89,7271,4779,city0089_region1,53.3,,,
89,7271,4779,city0089_region2,65.7,,,
90,10115,3843,city0090_region0,5.8,,,
90,10115,3843,city0090_region1,56.1,,,
90,10115,3843,city0090_region2,62.9,,,
91,11501,3615,city0091_region0,14.1,,,
91,11501,3615,city0091_region1,73.5,,,
91,11501,3615,city0091_region2,79.4,,,
92,3453,1864,city0092_region0,38.4,,,
92,3453,1864,city0092_region1,40.6,,,
92,3453,1864,city0092_region2,43.6,,,
93,9575,3815,city0093_region0,7.3,,,
93,9575,3815,city0093_region1,30.1,,,
93,9575,3815,city0093_region2,57.8,,,
94,6027,3866,city0094_region0,29.1,,,
94,6027,3866,city0094_region1,47.7,,,
94,6027,3866,city0094_region2,63.0,,,
95,3043,416,city0095_region0,13.6,,,
95,3043,416,city0095_region1,18.0,,,
95,3043,416,city0095_region2,35.4,,,
96,9917,5531,city0096_region0,9.1,,,
96,9917,5531,city0096_region1,19.3,,,
