city_id,city_x,city_y,text_crop_filename,distance_from_city,transcribed_name
520,11313,2635,city0520_region0,22.0,
521,6857,3849,city0521_region0,8.5,
522,3334,2010,city0522_region0,25.6,
523,10793,3877,city0523_region0,33.3,
524,6116,1232,city0524_region0,17.0,
525,6269,3963,city0525_region0,27.3,
526,6842,3385,city0526_region0,6.1,
527,2174,459,city0527_region0,26.4,
528,6397,5683,city0528_region0,20.1,
529,7655,3496,city0529_region0,3.0,
530,9277,4674,city0530_region0,8.1,
531,10198,3978,city0531_region0,34.1,
532,5786,3943,city0532_region0,22.0,
533,8587,1912,city0533_region0,12.0,
534,4241,2777,city0534_region0,19.1,
535,4961,3178,city0535_region0,23.1,
536,6757,1766,city0536_region0,12.7,
537,10382,4072,city0537_region0,15.3,
538,5548,1788,city0538_region0,16.1,
539,6458,2653,city0539_region0,8.0,
540,10171,1157,city0540_region0,25.7,
541,6357,3234,city0541_region0,41.2,
542,12352,2348,city0542_region0,26.2,
543,1156,2094,city0543_region0,13.9,
544,7241,4103,city0544_region0,24.2,
545,6714,3311,city0545_region0,15.5,
546,2627,3090,city0546_region0,9.8,
547,12504,2756,city0547_region0,20.6,
548,9138,3586,city0548_region0,42.0,
549,6906,1017,city0549_region0,22.8,
550,8027,4629,city0550_region0,30.4,
551,9509,3648,city0551_region0,25.0,
552,2486,3022,city0552_region0,40.9,
553,11628,3039,city0553_region0,36.1,
554,5002,3432,city0554_region0,4.1,
555,12538,2689,city0555_region0,24.1,
556,10784,5253,city0556_region0,10.0,
557,5159,2348,city0557_region0,11.4,
558,7958,2281,city0558_region0,20.1,
559,10583,901,city0559_region0,7.1,
560,6071,3344,city0560_region0,7.1,
561,1333,2465,city0561_region0,12.8,
562,12206,2677,city0562_region0,25.8,
563,5378,3034,city0563_region0,35.8,
564,10800,4159,city0564_region0,37.7,
565,4383,2502,city0565_region0,0.0,
566,2189,1898,city0566_region0,40.4,
567,9148,3684,city0567_region0,25.5,
568,7126,2548,city0568_region0,43.3,
569,7602,2181,city0569_region0,41.0,
570,3827,2586,city0570_region0,44.1,
571,8265,3138,city0571_region0,19.0,
572,3418,2477,city0572_region0,22.8,
573,5808,2908,city0573_region0,6.4,
574,6466,3359,city0574_region0,8.9,
575,6183,466,city0575_region0,31.8,
576,11194,4834,city0576_region0,21.8,
577,11092,4665,city0577_region0,37.2,
578,9661,3868,city0578_region0,28.0,
579,4516,421,city0579_region0,44.1,
580,6755,2482,city0580_region0,37.4,
581,6293,3401,city0581_region0,10.6,
582,10340,4476,city0582_region0,8.2,
583,12702,2483,city0583_region0,10.0,
584,1300,3264,city0584_region0,33.4,
